@relation quiebras-spain-2005-clean

@attribute TAMANO numeric % SIZE
@attribute ' CNAE_3' numeric % NATIONAL CODE OF THE COMPANY
@attribute ' EJERCICIO' numeric %  FISCAL YEAR
@attribute ' ANTIGUEDAD' numeric % AGE
@attribute ' AUDITADA' numeric % AUDITED
@attribute ' COD_FORMASOC' numeric % SOCIAL CODE OF THE COMPANY
@attribute ' COD_PROVINCIA' numeric % CODE OF PROVINCE
@attribute ' COM_END' numeric % Debt structure
@attribute ' COS_END' numeric % Debt cost
@attribute ' DISPONIBILIDAD' numeric  % DEB PAYING AVAILABILITY
@attribute ' FON_MAN' numeric % WORKING CAPITAL
@attribute ' GARANTIA' numeric % WARRANTY
@attribute ' MARGEN' numeric % OPERATING INCOME MARGIN
@attribute ' NIV_END' numeric % DEBT RATIO
@attribute ' REC_GEN' numeric % RETURN ON OPERATING ASSETS
@attribute ' REN_ECO' numeric % STOCK TURNOVER?
@attribute ' REN_FIN' numeric % RETURN ON EQUITY
@attribute ' REN_TOT' numeric % RETURN ON ASSETS
@attribute ' ROT_ACT' numeric % ASSET TURNOVER
@attribute ' ROT_DER' numeric % RECEIVABLE TURNOVER
@attribute ' SOLVENCIA' numeric % FINANCIAL SOLVENCY (CURRENT RATIO)
@attribute ' TES_ACI' numeric % ACID TEST
@attribute ' IMP_HIST_INC_JUDICIALES' numeric % HISTORIC AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES
@attribute ' IMP_INC_JUDICIALES' numeric % AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES (LAST YEAR)
@attribute ' NUM_CAMBIOS' numeric % NUMBER OF CHANGES OF LOCATION
@attribute ' NUM_EMPLEADOS' numeric % NUMBER OF EMPLOYEES
@attribute ' NUM_HIST_INC_GRAVES' numeric % HISTORIC NUMBER OF SERIOUS INCIDENCES
@attribute ' NUM_HIST_INC_JUDICIALES' numeric % HISTORIC NUMBER OF JUDICIAL INCIDENCES
@attribute ' NUM_INC_JUDICIALES' numeric % NUMBER OF JUDICIAL INCIDENCES (LAST YEAR)
@attribute ' NUM_ORG_SOC_ACTIVOS' numeric % NUMBER OF PARTNERS
@attribute ' OPI_AUDITORIA' numeric % OPINION OF THE AUDITORY
@attribute ' RETRASO' numeric % DELAY (IN SENDING ITS ANNUAL ACCOUNTS)
@attribute ' VINC_GRUPO' numeric % LINKED TO A GROUP
@attribute ' FALLIDA3' numeric % FINANCIAL FAILURE
@attribute ' Pérdidas' {0,1} % BOOK LOSSES

@data
1,1,1998,13,0,3,28,0,2.740044,0.324913,0.42998,2.734649,8.424879,0.576485,0.372866,12.312313,15.227987,12.41587,1.46142,2.650682,2.561477,2.313589,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2002,17,0,3,28,0,0.661908,0.748588,0.572396,4.1486,4.166752,0.317602,0.49685,4.666014,8.818521,9.550041,1.11982,2.529071,3.451743,3.176404,0,0,0,15,0,0,0,0,0,0,0,0,0
1,1,2003,18,0,3,28,0,0.279724,1.150977,0.621964,3.429131,4.504517,0.41167,0.079778,4.711627,-3.231138,-0.216865,1.04598,1.887329,3.683896,3.416861,0,0,0,15,0,0,0,0,0,0,0,0,0
1,1,2001,16,0,3,28,0,1.806585,1.017922,0.491993,3.680236,8.999067,0.373101,0.488991,10.403716,10.72975,10.402774,1.15609,2.995131,2.909924,2.652359,0,0,0,16,0,0,0,0,0,0,0,0,0
1,1,1999,14,0,3,28,0,2.269717,0.672136,0.350724,2.397115,11.454839,0.715761,0.347429,17.18351,20.304092,17.320812,1.50011,3.223019,2.035653,1.885537,0,0,0,18,0,0,0,0,0,0,0,0,0
1,1,2000,15,0,3,28,0,2.693051,0.977492,0.413398,2.882136,11.47972,0.531311,0.403546,14.334897,14.907853,13.845808,1.24871,3.108969,2.353115,2.200129,0,0,0,33,0,0,0,0,0,0,0,0,0
1,1,1998,5,0,3,8,1,4.1619,0.114144,0.029317,1.190102,9.597898,5.260323,0.158834,10.705734,40.344555,11.27601,1.11542,2.258533,1.060338,0.904582,0,0,0,17,0,0,0,4,0,0,0,0,0
1,1,1999,6,0,3,8,0,3.651815,0.209719,-0.033008,1.196129,6.831089,5.098675,0.175448,6.663771,31.387302,9.780503,0.97551,2.813,0.947642,0.81298,0,0,0,18,0,0,0,4,0,0,0,0,0
1,1,2002,9,0,3,8,0,2.028421,0.22985,-0.001318,1.420723,1.677911,2.376861,0.175688,2.090117,2.198437,2.351282,1.24567,4.334441,0.997924,0.726312,0,0,0,19,0,0,0,4,0,0,0,0,0
1,1,2000,7,0,3,8,0,2.453779,0.339301,0.043434,1.395378,11.041533,2.529229,0.2829,15.090799,40.943783,14.953828,1.36673,3.808995,1.07206,0.753112,0,0,0,19,0,0,0,4,0,0,0,0,0
1,1,2001,8,0,3,8,0,2.360423,0.305242,-0.010432,1.396991,1.408072,2.518949,0.189049,1.944502,10.76879,3.478174,1.38097,5.395566,0.981706,0.79167,0,0,0,19,0,0,0,4,0,0,0,0,0
1,1,2003,10,0,3,8,0,1.238672,0.126941,0.018871,1.611869,2.428084,1.634338,0.237836,3.536071,11.248734,5.51555,1.45632,4.067769,1.030418,0.855416,0,0,0,21,0,0,0,4,0,0,0,0,0
1,1,1998,5,0,3,39,0,10.672667,0.226489,-0.109582,1.10407,5.608078,9.60889,0.204632,17.184992,41.346371,17.202633,3.06433,5.708954,0.833881,0.735892,0,0,1,8,0,0,0,9,0,0,0,0,0
1,1,2001,8,0,3,39,0,5.739131,0.268973,0.103008,1.408589,5.134788,2.447447,0.147457,13.380359,25.40373,13.114445,2.60582,5.195229,1.15335,0.868175,0,0,1,11,0,0,0,9,0,0,0,0,0
1,1,1999,6,0,3,39,0,5.781411,0.317395,0.117312,1.28359,9.539238,3.526219,0.368657,31.635971,96.145233,27.583618,3.3164,7.810802,1.184156,1.110463,0,0,1,11,0,0,0,9,0,0,0,0,0
1,1,2000,7,0,3,39,0,4.967751,0.179141,0.043769,1.246121,4.551056,4.063035,0.099928,14.632221,31.637144,13.279778,3.21513,6.405608,1.058108,0.87715,0,0,1,12,0,0,0,9,0,0,0,0,0
1,1,2002,9,0,3,39,0,8.994678,0.071763,0.207408,1.774866,5.351084,1.290546,0.215348,14.857913,17.087072,14.464209,2.77662,6.312415,1.409224,1.015741,0,0,1,12,0,0,0,9,0,0,0,0,0
1,1,2003,10,0,3,39,0,8.252662,0.026152,0.200038,1.51532,5.454532,1.940541,0.124532,13.541173,15.446712,13.483987,2.48255,4.899508,1.321519,1.100703,0,0,1,13,0,0,0,9,0,0,0,0,0
2,1,1998,11,0,3,31,0,5.877626,0.091762,0.185515,2.041081,4.045658,0.96054,0.195604,6.101658,7.978445,7.044554,1.5082,4.095262,1.378651,0.838768,0,0,0,49,0,0,0,9,0,0,0,0,0
2,1,2003,16,0,3,31,0,4.481564,0.090457,-0.079253,1.361686,-11.548612,2.764832,-0.194266,-13.72281,-53.756573,-15.369193,1.18826,4.185847,0.885255,0.49222,0,0,0,55,0,0,0,9,0,0,0,0,0
