@relation bankruptcy-spain-1998:2003

@attribute YEAR integer   %  FISCAL YEAR
@attribute SIZE {small,medium,big}   % SIZE
@attribute NUMBER_EMPLOYEES integer   % NUMBER OF EMPLOYEES
@attribute AGE integer   % AGE
@attribute SOCIAL_CODE {Co,Ltd,other}   % SOCIAL CODE OF THE COMPANY
@attribute LINKED_GROUP {no,yes}   % LINKED TO A GROUP
@attribute NUMBER_PARTNERS integer   % NUMBER OF PARTNERS
@attribute PROVINCE_CODE {1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,45,46,47,48,49,50,52}   % CODE OF PROVINCE
@attribute CHANGES_LOCATION integer   % NUMBER OF CHANGES OF LOCATION
@attribute DEBT_STRUCTURE numeric   % DEBT STRUCTURE
@attribute DEBT_COST numeric   % DEBT COST
@attribute DEBT_PAYING_AVAILABILITY numeric    % DEBT PAYING AVAILABILITY
@attribute DEBT_RATIO numeric   % DEBT RATIO
@attribute WORKING_CAPITAL numeric   % WORKING CAPITAL
@attribute WARRANTY numeric   % WARRANTY
@attribute OPERATING_INCOME_MARGIN numeric   % OPERATING INCOME MARGIN
@attribute RETURN_OPERATING_ASSETS numeric   % RETURN ON OPERATING ASSETS
@attribute RETURN_EQUITY numeric   % RETURN ON EQUITY
@attribute RETURN_ASSETS numeric   % RETURN ON ASSETS
@attribute STOCK_TURNOVER numeric   % STOCK TURNOVER
@attribute ASSET_TURNOVER numeric   % ASSET TURNOVER
@attribute RECEIVABLE_TURNOVER numeric   % RECEIVABLE TURNOVER
@attribute ASSET_ROTATION numeric   % ASSET ROTATION
@attribute FINANCIAL_SOLVENCY numeric   % FINANCIAL SOLVENCY (CURRENT RATIO)
@attribute ACID_TEST numeric   % ACID TEST
@attribute DELAY_ACCOUNTS {no,yes}   % DELAY (IN SENDING ITS ANNUAL ACCOUNTS)
@attribute NUMBER_JUDICIAL_INCIDENCES_TOTAL integer   % HISTORIC NUMBER OF JUDICIAL INCIDENCES
@attribute NUMBER_JUDICIAL_INCIDENCES_YEAR integer   % NUMBER OF JUDICIAL INCIDENCES (LAST YEAR)
@attribute SPENT_JUDICIAL_INCIDENCES_TOTAL numeric   % HISTORIC AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES
@attribute SPENT_JUDICIAL_INCIDENCES_YEAR numeric   % AMOUNT OF MONEY SPENT ON JUDICIAL INCIDENCES (LAST YEAR)
@attribute NUMBER_SERIOUS_INCIDENCES integer   % HISTORIC NUMBER OF SERIOUS INCIDENCES
@attribute AUDITED {no,yes}   % AUDITED
@attribute AUDITORS_OPINION {nothing,positive,minor,negative}   % OPINION OF THE AUDITORY
@attribute BANKRUPTCY {NO,YES}   % FINANCIAL FAILURE

@data
1998,small,18,1,Co,no,16,28,3,0.000000000000,0.823367714882,1.495062470436,0.010650887154,0.172853544354,94.888893127441,-140.104660034179,-4.592710494995,-6.909822940826,-6.821090698242,-15.155112266541,0.108169943094,6.172152996063,3.309202432632,17.401880264282,13.782862663269,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,0,7,Co,no,1,28,0,0.654018521309,1.634197831154,0.023720508441,4.866743564606,-0.182965368032,1.205476164818,14.668990135193,0.051455579698,16.670440673828,4.197160243988,4.006419181824,0.273121654987,0.887088239193,,0.635188996792,0.635188996792,yes,0,0,0.00,0.00,0,no,nothing,NO
1998,small,9,2,Ltd,no,2,7,1,0.018988033757,3.639101982117,0.053724672645,134.443542480468,-0.019077390432,1.007438063622,2.639827489853,0.018323361874,74.116561889648,4.454101085663,4.561863422394,1.728091478348,2.054351329803,27.262960433960,0.980415761471,0.918033778667,no,0,0,0.00,0.00,0,no,nothing,NO
1998,medium,46,8,Ltd,yes,33,45,6,0.009276445024,4.925107955933,0.026168372482,7.498940467834,0.091033712029,1.133352160454,2.506584167480,0.046501249075,26.861726760864,8.172711372375,2.857357501984,1.139940738678,1.385994076729,8.225368499756,1.104130387306,0.951793253422,yes,0,0,0.00,0.00,0,yes,nothing,NO
1998,medium,60,2,Co,no,11,17,0,0.992676138878,1.162668347359,0.001435983344,0.294318735600,0.450536519289,4.397676944733,-3.741612911224,-0.108739711344,-5.656357288361,-4.331255912781,-5.691815853119,1.521219849586,7.156137466431,3.217697858810,4.948117256165,1.366415381432,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,12,20,Co,no,13,8,0,0.000000000000,0.415458142757,0.036985419691,0.138739272952,0.396400719881,8.207764625549,0.040778875351,0.899782717228,0.192885175347,0.314890682697,0.046332478523,1.136188387871,5.317884445190,3.451885700226,4.253563880920,1.460790395737,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,0,0,Ltd,no,1,40,0,0.000000000000,3.753751277924,0.000066172441,4.350941658020,0.102408789098,1.229835271835,,-0.101629272103,-47.614482879639,-5.170528888702,-5.183231353760,0.000000000000,0.000000000000,0.077090360224,1.125945925713,0.299056470394,no,0,0,0.00,0.00,0,no,nothing,NO
1998,small,24,8,other,no,15,7,1,0.035829242319,1.579942822456,0.152369603515,0.705807924271,0.208825543523,2.416815996170,6.723597526550,3.744887113571,13.998198509216,13.630051612854,14.937228202820,2.221612453461,4.895075321198,22.218765258789,1.522775650024,1.213037848473,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,0,6,Co,no,2,28,0,0.649319827557,4.539556503296,0.459802210331,1.684211850166,-0.018038662151,1.593749523163,-3.288378000259,0.073481753469,4.668025493622,4.185530662537,-4.680235862732,1.423265695572,9.954208374023,21.754686355591,0.952583491802,0.725527405739,no,0,0,0.00,0.00,0,yes,nothing,NO
1998,small,2,31,Co,no,14,28,0,0.586154520512,0.000000000000,0.269026994705,0.038720253855,0.456447303295,26.826276779175,-3960.795410156250,-0.607502877712,-4.222330570221,-2.462635755539,-6.815904140472,0.001720842207,-0.028802903369,0.369295388460,20.422115325928,16.075397491455,no,0,0,0.00,0.00,0,yes,nothing,NO
