http://www.global-view.com/forex-trading-tools/forex-history/index.html
From 01-Jan-2010 to 31-Dec-2014. 1304 observations. First 1043 used to train, remaining 261 for test
Results,EUR/USD Close,USD/JPY Close,GBP/USD Close
Average,  1.332, 90.153,  1.589
Minimum,   1.192,  75.720,   1.433
Maximum,   1.483, 121.420,   1.717
Std,   0.057,  10.973,   0.052
# In Calc, 1304, 1304, 1304
Date,EUR/USD Close,USD/JPY Close,GBP/USD Close
2010-01-01,1.4318,93.08,1.6166
2010-01-04,1.4411,92.54,1.6099
2010-01-05,1.4366,91.65,1.5993
2010-01-06,1.4412,92.32,1.6023
2010-01-07,1.4319,93.27,1.5936
2010-01-08,1.4411,92.59,1.6029
2010-01-11,1.4526,92.06,1.6108
2010-01-12,1.4487,90.95,1.6162
2010-01-13,1.4506,91.45,1.6283
2010-01-14,1.4496,91.11,1.6323
2010-01-15,1.4375,90.81,1.6258
2010-01-18,1.4386,90.76,1.6326
2010-01-19,1.4304,91.07,1.6372
2010-01-20,1.4102,91.23,1.6287
2010-01-21,1.4098,90.36,1.6208
2010-01-22,1.414,89.87,1.611
2010-01-25,1.4153,90.21,1.6232
2010-01-26,1.4076,89.66,1.614
2010-01-27,1.4018,89.96,1.6158
2010-01-28,1.3971,89.85,1.6128
2010-01-29,1.3867,90.27,1.6
2010-02-01,1.3926,90.64,1.5959
2010-02-02,1.3963,90.34,1.5978
2010-02-03,1.3903,90.94,1.5904
2010-02-04,1.3738,88.9,1.575
2010-02-05,1.3652,89.33,1.5623
2010-02-08,1.3659,89.28,1.5604
2010-02-09,1.378,89.63,1.5697
2010-02-10,1.3732,89.93,1.5583
2010-02-11,1.3681,89.73,1.5694
2010-02-12,1.3609,90,1.567
2010-02-15,1.3597,89.96,1.5662
2010-02-16,1.3765,90.13,1.5786
2010-02-17,1.3607,91.19,1.5678
2010-02-18,1.3612,91.23,1.5618
2010-02-19,1.359,91.6,1.5454
2010-02-22,1.3597,91.1,1.548
2010-02-23,1.35,90.16,1.5407
2010-02-24,1.3532,90.2,1.5395
2010-02-25,1.3558,89.07,1.527
2010-02-26,1.3613,88.91,1.5246
2010-03-01,1.3558,89.07,1.4988
2010-03-02,1.3608,88.68,1.4961
2010-03-03,1.3701,88.4,1.5104
2010-03-04,1.3587,89.05,1.5035
2010-03-05,1.3624,90.33,1.5146
2010-03-08,1.363,90.3,1.506
2010-03-09,1.3599,89.97,1.4992
2010-03-10,1.3641,90.52,1.496
2010-03-11,1.3677,90.54,1.5058
2010-03-12,1.3758,90.45,1.5181
2010-03-15,1.3671,90.51,1.505
2010-03-16,1.3778,90.24,1.5257
2010-03-17,1.3738,90.25,1.5323
2010-03-18,1.3612,90.29,1.5246
2010-03-19,1.3531,90.52,1.5014
2010-03-22,1.3549,90.13,1.5093
2010-03-23,1.35,90.41,1.5044
2010-03-24,1.3331,92.13,1.4889
2010-03-25,1.328,92.69,1.4815
2010-03-26,1.3423,92.48,1.4899
2010-03-29,1.3477,92.46,1.498
2010-03-30,1.3413,92.82,1.5066
2010-03-31,1.351,93.5,1.5177
2010-04-01,1.3585,93.84,1.5287
2010-04-02,1.3485,94.63,1.5192
2010-04-05,1.3479,94.33,1.5279
2010-04-06,1.3402,93.73,1.527
2010-04-07,1.3351,93.25,1.5245
2010-04-08,1.3348,93.35,1.5265
2010-04-09,1.3492,93.16,1.5367
2010-04-12,1.3579,93.23,1.5362
2010-04-13,1.3589,93.13,1.5369
2010-04-14,1.3654,93.2,1.5465
2010-04-15,1.3574,93.02,1.5493
2010-04-16,1.3504,92.13,1.5389
2010-04-19,1.3486,92.39,1.5336
2010-04-20,1.3444,93.14,1.5369
2010-04-21,1.3395,93.16,1.5407
2010-04-22,1.3311,93.51,1.5382
2010-04-23,1.3371,94.06,1.5369
2010-04-26,1.3363,93.97,1.5455
2010-04-27,1.3174,93.04,1.5241
2010-04-28,1.3196,94.13,1.5183
2010-04-29,1.3241,94.07,1.5339
2010-04-30,1.3314,93.92,1.529
2010-05-03,1.3196,94.59,1.5244
2010-05-04,1.3007,94.41,1.5156
2010-05-05,1.2818,93.67,1.5091
2010-05-06,1.2614,90,1.4816
2010-05-07,1.2732,91.37,1.4815
2010-05-10,1.2775,93.2,1.4855
2010-05-11,1.2691,92.75,1.4948
2010-05-12,1.2626,93.16,1.4825
2010-05-13,1.2545,92.71,1.4627
2010-05-14,1.238,92.25,1.4536
2010-05-17,1.2386,92.51,1.4471
2010-05-18,1.221,92.36,1.4333
2010-05-19,1.2386,91.63,1.4417
2010-05-20,1.2523,89.76,1.4409
2010-05-21,1.2575,90.03,1.4486
2010-05-24,1.2384,90.39,1.4435
2010-05-25,1.2332,90.06,1.4395
2010-05-26,1.2191,90,1.4403
2010-05-27,1.2345,90.86,1.4574
2010-05-28,1.2276,90.85,1.4458
2010-05-31,1.23,91.08,1.4538
2010-06-01,1.2235,91.04,1.4649
2010-06-02,1.2243,92.13,1.465
2010-06-03,1.2163,92.57,1.4614
2010-06-04,1.1963,91.59,1.4466
2010-06-07,1.192,91.63,1.4467
2010-06-08,1.1943,91.4,1.4426
2010-06-09,1.1979,91.06,1.4526
2010-06-10,1.2117,91.26,1.4704
2010-06-11,1.2091,91.71,1.4532
2010-06-14,1.2225,91.44,1.4746
2010-06-15,1.2337,91.42,1.4807
2010-06-16,1.2303,91.39,1.4782
2010-06-17,1.2385,90.97,1.4819
2010-06-18,1.2384,90.67,1.4826
2010-06-21,1.2304,90.96,1.4739
2010-06-22,1.2271,90.34,1.4811
2010-06-23,1.2321,89.94,1.4953
2010-06-24,1.2329,89.48,1.4924
2010-06-25,1.2378,89.25,1.5039
2010-06-28,1.2279,89.39,1.5111
2010-06-29,1.2188,88.46,1.5062
2010-06-30,1.2229,88.36,1.4938
2010-07-01,1.2522,87.55,1.518
2010-07-02,1.2547,87.73,1.5194
2010-07-05,1.2533,87.75,1.5129
2010-07-06,1.2614,87.46,1.5133
2010-07-07,1.2634,87.73,1.5193
2010-07-08,1.2693,88.36,1.5158
2010-07-09,1.2639,88.64,1.5064
2010-07-12,1.2589,88.6,1.5029
2010-07-13,1.2717,88.43,1.5166
2010-07-14,1.2737,88.25,1.5255
2010-07-15,1.2914,87.55,1.544
2010-07-16,1.2925,86.57,1.5299
2010-07-19,1.2945,86.82,1.5227
2010-07-20,1.2889,87.37,1.5283
2010-07-21,1.2766,87.03,1.5166
2010-07-22,1.2889,86.89,1.5269
2010-07-23,1.2909,87.3,1.5419
2010-07-26,1.2995,86.88,1.5481
2010-07-27,1.3002,87.88,1.5587
2010-07-28,1.2979,87.43,1.5576
2010-07-29,1.3085,86.83,1.5618
2010-07-30,1.3054,86.43,1.5702
2010-08-02,1.3167,86.46,1.5888
2010-08-03,1.3229,85.82,1.5942
2010-08-04,1.316,86.24,1.5893
2010-08-05,1.3178,85.77,1.5882
2010-08-06,1.3288,85.38,1.596
2010-08-09,1.3223,85.84,1.5903
2010-08-10,1.3191,85.34,1.5856
2010-08-11,1.2884,85.33,1.5682
2010-08-12,1.2828,85.88,1.5575
2010-08-13,1.2753,86.28,1.5591
2010-08-16,1.2816,85.32,1.5646
2010-08-17,1.288,85.47,1.5576
2010-08-18,1.286,85.43,1.56
2010-08-19,1.2819,85.32,1.5597
2010-08-20,1.2708,85.68,1.553
2010-08-23,1.2665,85.19,1.5519
2010-08-24,1.2674,84.17,1.543
2010-08-25,1.2653,84.79,1.5446
2010-08-26,1.2735,84.45,1.5539
2010-08-27,1.2738,85.33,1.5517
2010-08-30,1.2662,84.63,1.5459
2010-08-31,1.2684,83.96,1.535
2010-09-01,1.2802,84.47,1.5453
2010-09-02,1.2815,84.25,1.5392
2010-09-03,1.2891,84.4,1.5456
2010-09-06,1.2872,84.2,1.5402
2010-09-07,1.2698,83.78,1.5373
2010-09-08,1.2712,83.92,1.5467
2010-09-09,1.2703,83.89,1.5442
2010-09-10,1.2707,84.18,1.5351
2010-09-13,1.2872,83.62,1.5417
2010-09-14,1.3011,83.09,1.5562
2010-09-15,1.3012,85.59,1.5617
2010-09-16,1.3083,85.81,1.5631
2010-09-17,1.3042,85.76,1.5626
2010-09-20,1.3064,85.75,1.555
2010-09-21,1.3242,85.13,1.5615
2010-09-22,1.3393,84.51,1.5668
2010-09-23,1.3314,84.33,1.5679
2010-09-24,1.3484,84.31,1.5822
2010-09-27,1.3472,84.2,1.5852
2010-09-28,1.3583,83.91,1.5798
2010-09-29,1.3627,83.65,1.5781
2010-09-30,1.3632,83.51,1.5707
2010-10-01,1.3778,83.28,1.5834
2010-10-04,1.3683,83.4,1.5829
2010-10-05,1.383,83.2,1.5887
2010-10-06,1.3935,82.9,1.5885
2010-10-07,1.3917,82.37,1.5869
2010-10-08,1.3922,82.07,1.5951
2010-10-11,1.3875,82.09,1.5871
2010-10-12,1.3914,81.83,1.5793
2010-10-13,1.3962,81.76,1.5895
2010-10-14,1.4076,81.5,1.6009
2010-10-15,1.3969,81.45,1.5984
2010-10-18,1.3986,81.16,1.5934
2010-10-19,1.3728,81.54,1.5699
2010-10-20,1.3956,81.14,1.5833
2010-10-21,1.3923,81.32,1.5704
2010-10-22,1.3934,81.35,1.5678
2010-10-25,1.3979,80.78,1.5741
2010-10-26,1.3848,81.44,1.5841
2010-10-27,1.3764,81.69,1.5763
2010-10-28,1.3931,80.99,1.594
2010-10-29,1.3908,80.47,1.6032
2010-11-01,1.3879,80.58,1.6031
2010-11-02,1.4027,80.68,1.6022
2010-11-03,1.4132,81.11,1.6094
2010-11-04,1.4206,80.65,1.6291
2010-11-05,1.4035,81.32,1.6187
2010-11-08,1.3918,81.15,1.6132
2010-11-09,1.3775,81.92,1.5973
2010-11-10,1.378,82.26,1.6121
2010-11-11,1.3658,82.44,1.6106
2010-11-12,1.3699,82.43,1.6139
2010-11-15,1.3564,83.22,1.6045
2010-11-16,1.3488,83.3,1.5883
2010-11-17,1.3518,83.31,1.5893
2010-11-18,1.363,83.5,1.6036
2010-11-19,1.3685,83.46,1.5986
2010-11-22,1.3624,83.28,1.5961
2010-11-23,1.3375,83.14,1.5774
2010-11-24,1.3324,83.58,1.5768
2010-11-25,1.3376,83.59,1.5766
2010-11-26,1.3236,84.06,1.5618
2010-11-29,1.3123,84.22,1.5575
2010-11-30,1.2998,83.66,1.5568
2010-12-01,1.3135,84.17,1.5628
2010-12-02,1.3223,83.87,1.5599
2010-12-03,1.3408,82.65,1.5784
2010-12-06,1.3323,82.62,1.5724
2010-12-07,1.3274,83.49,1.5764
2010-12-08,1.3258,84.02,1.5803
2010-12-09,1.3239,83.68,1.5764
2010-12-10,1.3226,83.89,1.5813
2010-12-13,1.3389,83.39,1.5856
2010-12-14,1.3384,83.66,1.5779
2010-12-15,1.3221,84.3,1.5543
2010-12-16,1.3224,84.03,1.5621
2010-12-17,1.3181,83.92,1.5518
2010-12-20,1.312,83.74,1.5513
2010-12-21,1.3092,83.74,1.546
2010-12-22,1.3092,83.56,1.5381
2010-12-23,1.3115,82.91,1.5426
2010-12-24,1.3115,82.89,1.5441
2010-12-27,1.3156,82.82,1.5415
2010-12-28,1.3114,82.42,1.5381
2010-12-29,1.3231,81.61,1.5504
